request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other,search_20_trained,search_10_trained
объективность игры в орлянку,[5258],1,"[8066, 4717, 1353, 7301, 76, 966, 2787, 6063, 19, 7444, 3920, 575, 7559, 2478, 8208, 6183, 4371, 973, 5844, 7769]","[8066, 4717, 1353, 7301, 76, 966, 2787, 6063, 19, 7444]","[1470, 973, 691, 3222, 8066, 5283, 1373, 1738, 873, 8208, 1353, 8239, 3380, 7444, 4498, 7559, 1386, 2964, 19, 4715]","[1470, 973, 691, 3222, 8066, 5283, 1373, 1738, 873, 8208]","[973, 3222, 1373, 8208, 1353, 7444, 5283, 76, 1470, 69, 8239, 1738, 1193, 873, 4498, 2948, 4717, 3380, 4802, 6297]","[973, 3222, 1373, 8208, 1353, 7444, 5283, 76, 1470, 69]","[1386, 1353, 1470, 6644, 4743, 8066, 873, 4197, 4749, 1373, 6063, 69, 3222, 1369, 3370, 7682, 5687, 3784, 7301, 4525]","[1386, 1353, 1470, 6644, 4743, 8066, 873, 4197, 4749, 1373]"
статьи про умные полимеры,[5773],1,"[6369, 6134, 5056, 8051, 6348, 600, 2505, 3476, 975, 5054, 522, 8264, 3231, 1724, 896, 4679, 3925, 4934, 8011, 1319]","[6369, 6134, 5056, 8051, 6348, 600, 2505, 3476, 975, 5054]","[600, 2562, 72, 3476, 6369, 6666, 3925, 7218, 5965, 4798, 975, 896, 8042, 7439, 5182, 3889, 6860, 7898, 514, 8011]","[600, 2562, 72, 3476, 6369, 6666, 3925, 7218, 5965, 4798]","[1443, 600, 5242, 6145, 3476, 7218, 6369, 5510, 975, 8264, 3260, 3889, 8011, 2562, 2505, 1556, 896, 4963, 3136, 5982]","[1443, 600, 5242, 6145, 3476, 7218, 6369, 5510, 975, 8264]","[3476, 8264, 72, 5101, 975, 5054, 6666, 896, 1563, 3260, 5773, 8011, 5866, 600, 4679, 5172, 5436, 8042, 6860, 5242]","[3476, 8264, 72, 5101, 975, 5054, 6666, 896, 1563, 3260]"
безопасные методы химического синтеза,[1469],1,"[3008, 7457, 82, 865, 1469, 8145, 1534, 3163, 6844, 3728, 6126, 1179, 1018, 1977, 5583, 7486, 4895, 2422, 3476, 7792]","[3008, 7457, 82, 865, 1469, 8145, 1534, 3163, 6844, 3728]","[3476, 3007, 865, 8227, 8126, 7457, 446, 464, 1937, 1469, 3885, 82, 2646, 5337, 1534, 5191, 4895, 1179, 3008, 3773]","[3476, 3007, 865, 8227, 8126, 7457, 446, 464, 1937, 1469]","[3476, 3007, 7457, 446, 4895, 1534, 5944, 1179, 865, 3651, 3773, 6235, 948, 1469, 464, 6447, 7792, 3524, 82, 7369]","[3476, 3007, 7457, 446, 4895, 1534, 5944, 1179, 865, 3651]","[3476, 8126, 693, 446, 5557, 3007, 948, 4895, 5881, 8225, 7457, 6126, 7853, 464, 3855, 7081, 3389, 3008, 2686, 1179]","[3476, 8126, 693, 446, 5557, 3007, 948, 4895, 5881, 8225]"
статьи о кольцах у карликовых планет,[6916],1,"[6223, 2221, 1797, 44, 30, 7725, 228, 2704, 4328, 6642, 8095, 951, 7447, 602, 543, 2177, 2398, 1940, 5775, 2381]","[6223, 2221, 1797, 44, 30, 7725, 228, 2704, 4328, 6642]","[228, 8092, 1940, 1157, 5183, 30, 4499, 6944, 1976, 1085, 7306, 6916, 7447, 3935, 6085, 1621, 3669, 4328, 2839, 2381]","[228, 8092, 1940, 1157, 5183, 30, 4499, 6944, 1976, 1085]","[6315, 1976, 228, 6085, 6916, 282, 2398, 7331, 1940, 8095, 2177, 6901, 6223, 6296, 602, 2839, 517, 6642, 7306, 1085]","[6315, 1976, 228, 6085, 6916, 282, 2398, 7331, 1940, 8095]","[3650, 3888, 228, 6134, 1105, 7455, 2116, 7241, 617, 1843, 3248, 8242, 4950, 1733, 30, 1927, 5061, 7828, 4489, 2414]","[3650, 3888, 228, 6134, 1105, 7455, 2116, 7241, 617, 1843]"
черные дыры на Венере,[2448],1,"[7425, 517, 7447, 6954, 6890, 6839, 2280, 145, 2034, 2701, 1711, 2210, 936, 2337, 2214, 428, 176, 1226, 2418, 7800]","[7425, 517, 7447, 6954, 6890, 6839, 2280, 145, 2034, 2701]","[1792, 7800, 3569, 6191, 908, 2280, 3962, 218, 145, 71, 2097, 7633, 2965, 4898, 2701, 2882, 6058, 2214, 4084, 6890]","[1792, 7800, 3569, 6191, 908, 2280, 3962, 218, 145, 71]","[2214, 7425, 1711, 649, 2210, 6557, 71, 517, 2896, 936, 1036, 2701, 1203, 2097, 6085, 218, 2642, 2882, 3569, 176]","[2214, 7425, 1711, 649, 2210, 6557, 71, 517, 2896, 936]","[7633, 6839, 7447, 6557, 2034, 3479, 1036, 2418, 2882, 517, 2280, 2322, 2337, 2214, 1203, 7811, 3474, 3840, 2480, 3664]","[7633, 6839, 7447, 6557, 2034, 3479, 1036, 2418, 2882, 517]"
исследования семейных отношений в МПСУ,[3396],1,"[3920, 3580, 4618, 3396, 3334, 1416, 5601, 3285, 2902, 3638, 177, 3455, 5995, 3931, 3150, 5616, 4096, 367, 3355, 4160]","[3920, 3580, 4618, 3396, 3334, 1416, 5601, 3285, 2902, 3638]","[4618, 3396, 3334, 3920, 2958, 3580, 5601, 3150, 3638, 1416, 6203, 3285, 5674, 5669, 3931, 5616, 2865, 3186, 3214, 5995]","[4618, 3396, 3334, 3920, 2958, 3580, 5601, 3150, 3638, 1416]","[5601, 4618, 3334, 3920, 4031, 3396, 2865, 2958, 412, 5995, 3931, 5674, 3832, 177, 3042, 3285, 3150, 3580, 4096, 3355]","[5601, 4618, 3334, 3920, 4031, 3396, 2865, 2958, 412, 5995]","[2958, 4618, 3920, 1416, 3396, 3580, 3150, 5601, 3334, 6203, 5995, 186, 2902, 5616, 734, 4641, 3512, 3931, 3042, 766]","[2958, 4618, 3920, 1416, 3396, 3580, 3150, 5601, 3334, 6203]"
инновационные методы лечения рака,[6461],1,"[445, 3399, 4936, 2721, 3210, 1917, 4649, 5698, 1117, 4567, 5185, 6853, 502, 7176, 7217, 749, 2150, 4824, 5841, 1804]","[445, 3399, 4936, 2721, 3210, 1917, 4649, 5698, 1117, 4567]","[4567, 1917, 445, 3399, 291, 3552, 5467, 5973, 1050, 1782, 7217, 2721, 2314, 4936, 3164, 5342, 7615, 502, 6853, 1008]","[4567, 1917, 445, 3399, 291, 3552, 5467, 5973, 1050, 1782]","[3399, 4824, 6731, 3706, 5888, 1008, 502, 4257, 2721, 3210, 5973, 4840, 1804, 4529, 2150, 2314, 3320, 7176, 4567, 1917]","[3399, 4824, 6731, 3706, 5888, 1008, 502, 4257, 2721, 3210]","[6731, 502, 4529, 5527, 5302, 2150, 445, 3399, 4936, 3932, 291, 5342, 6724, 6853, 7217, 3009, 1804, 3025, 5467, 4624]","[6731, 502, 4529, 5527, 5302, 2150, 445, 3399, 4936, 3932]"
избегание кровосмешения в каменном веке,[4310],1,"[7550, 6691, 6459, 6793, 6864, 7170, 543, 1512, 8097, 3848, 5432, 751, 4258, 5532, 5861, 6765, 199, 2722, 3224, 4809]","[7550, 6691, 6459, 6793, 6864, 7170, 543, 1512, 8097, 3848]","[7550, 7170, 2920, 751, 3224, 6455, 6765, 131, 1075, 8097, 2786, 6793, 1639, 7173, 3871, 423, 3432, 2143, 7861, 1044]","[7550, 7170, 2920, 751, 3224, 6455, 6765, 131, 1075, 8097]","[216, 8097, 5513, 6691, 3999, 7467, 1639, 7173, 6290, 2786, 5018, 6755, 4737, 7405, 6793, 5432, 7172, 7861, 423, 1512]","[216, 8097, 5513, 6691, 3999, 7467, 1639, 7173, 6290, 2786]","[7304, 4258, 2835, 4526, 1639, 3848, 1058, 1512, 88, 5359, 7172, 2581, 4372, 7454, 131, 6793, 4837, 6707, 6864, 2920]","[7304, 4258, 2835, 4526, 1639, 3848, 1058, 1512, 88, 5359]"
открытия в ядерной физике,[2592],1,"[2607, 8251, 2727, 2862, 2980, 7681, 2264, 2959, 2966, 1776, 3067, 2472, 586, 7124, 3034, 8064, 4869, 7394, 5952, 5157]","[2607, 8251, 2727, 2862, 2980, 7681, 2264, 2959, 2966, 1776]","[3034, 1776, 970, 2607, 1923, 2727, 2592, 91, 4355, 1332, 2302, 4938, 251, 2862, 2896, 7681, 361, 5952, 2027, 8064]","[3034, 1776, 970, 2607, 1923, 2727, 2592, 91, 4355, 1332]","[4869, 2727, 91, 2302, 8251, 5596, 509, 6531, 2862, 970, 361, 2966, 6600, 1923, 3626, 4938, 3505, 4126, 1776, 2592]","[4869, 2727, 91, 2302, 8251, 5596, 509, 6531, 2862, 970]","[2966, 970, 1923, 91, 860, 4038, 5085, 1332, 2472, 1951, 602, 4126, 2239, 1887, 3626, 3521, 5433, 8251, 941, 942]","[2966, 970, 1923, 91, 860, 4038, 5085, 1332, 2472, 1951]"
механизм исцеляющего сна,[2606],1,"[2606, 3783, 7322, 4622, 2384, 6262, 1931, 8045, 1731, 7327, 2099, 4238, 4565, 6819, 5464, 2509, 4256, 5733, 619, 7829]","[2606, 3783, 7322, 4622, 2384, 6262, 1931, 8045, 1731, 7327]","[2606, 3137, 1931, 7322, 4722, 3783, 6248, 653, 6205, 6799, 5689, 7327, 8263, 7150, 8045, 1955, 4340, 3041, 5090, 5093]","[2606, 3137, 1931, 7322, 4722, 3783, 6248, 653, 6205, 6799]","[3137, 2606, 3330, 6262, 3783, 1931, 156, 7150, 5689, 653, 3547, 5093, 6248, 4722, 2423, 8149, 6799, 6744, 1731, 6129]","[3137, 2606, 3330, 6262, 3783, 1931, 156, 7150, 5689, 653]","[2606, 3886, 8157, 6799, 6209, 4815, 4722, 6459, 4256, 3762, 6744, 5970, 4485, 1351, 3041, 1571, 5610, 5780, 3783, 3004]","[2606, 3886, 8157, 6799, 6209, 4815, 4722, 6459, 4256, 3762]"
поиск жизни на других планетах,[1012],1,"[1903, 7465, 7241, 5379, 4337, 7402, 809, 173, 2082, 1407, 4606, 5444, 1399, 42, 3248, 7321, 3960, 492, 577, 1412]","[1903, 7465, 7241, 5379, 4337, 7402, 809, 173, 2082, 1407]","[5379, 1903, 1071, 44, 7465, 3053, 7402, 577, 7, 688, 7839, 7241, 4337, 4357, 1894, 493, 2343, 2243, 5444, 2827]","[5379, 1903, 1071, 44, 7465, 3053, 7402, 577, 7, 688]","[1903, 1894, 5379, 4337, 44, 1071, 3053, 7, 1012, 2243, 7241, 3248, 1407, 1843, 2827, 7402, 1399, 493, 7358, 4132]","[1903, 1894, 5379, 4337, 44, 1071, 3053, 7, 1012, 2243]","[1903, 6586, 5379, 44, 1386, 7737, 3069, 4132, 3053, 6351, 688, 3097, 3122, 2343, 7390, 4337, 577, 809, 3705, 492]","[1903, 6586, 5379, 44, 1386, 7737, 3069, 4132, 3053, 6351]"
угрозы для розовых флам,[3971],1,"[1002, 882, 451, 3980, 5076, 5291, 7534, 2652, 3717, 4878, 3464, 147, 3720, 1938, 3459, 3788, 5555, 4882, 830, 4996]","[1002, 882, 451, 3980, 5076, 5291, 7534, 2652, 3717, 4878]","[222, 3980, 458, 44, 3891, 6286, 715, 3721, 5076, 3971, 2636, 2652, 70, 5125, 1884, 3459, 3185, 6649, 3229, 830]","[222, 3980, 458, 44, 3891, 6286, 715, 3721, 5076, 3971]","[2652, 7474, 5353, 222, 6282, 7082, 3996, 5541, 451, 3971, 5291, 3464, 3891, 1165, 3130, 6231, 1977, 715, 2636, 6649]","[2652, 7474, 5353, 222, 6282, 7082, 3996, 5541, 451, 3971]","[4468, 4996, 7386, 3798, 6309, 4482, 1884, 44, 4851, 1603, 4882, 6180, 5541, 1636, 3459, 5125, 6919, 6626, 1157, 1938]","[4468, 4996, 7386, 3798, 6309, 4482, 1884, 44, 4851, 1603]"
технологии очистки морской воды,[7894],1,"[6749, 1988, 7135, 2488, 8250, 4786, 2986, 3749, 3972, 3825, 999, 2603, 520, 3205, 104, 7478, 6427, 5725, 5473, 5265]","[6749, 1988, 7135, 2488, 8250, 4786, 2986, 3749, 3972, 3825]","[520, 7135, 7478, 2986, 5473, 5265, 8021, 213, 3205, 3749, 1988, 999, 1451, 2488, 4786, 8250, 3972, 5725, 3240, 6749]","[520, 7135, 7478, 2986, 5473, 5265, 8021, 213, 3205, 3749]","[1444, 520, 425, 7135, 7270, 335, 2, 2735, 8021, 6749, 7578, 6434, 3972, 2488, 7478, 999, 3731, 1969, 4902, 413]","[1444, 520, 425, 7135, 7270, 335, 2, 2735, 8021, 6749]","[3749, 520, 999, 6126, 4078, 7197, 6749, 3205, 3825, 7478, 5668, 7135, 3731, 7881, 211, 5265, 2986, 335, 4786, 488]","[3749, 520, 999, 6126, 4078, 7197, 6749, 3205, 3825, 7478]"
депрессия у женщин после пандемии,[3092],1,"[6123, 3092, 2373, 98, 1705, 5512, 7862, 5043, 4523, 2574, 5417, 5361, 4557, 4409, 3868, 4098, 4485, 3301, 7544, 6273]","[6123, 3092, 2373, 98, 1705, 5512, 7862, 5043, 4523, 2574]","[1705, 7862, 2373, 5361, 4557, 98, 6997, 3703, 6204, 3301, 6273, 3696, 5417, 697, 4098, 662, 6984, 382, 4471, 6767]","[1705, 7862, 2373, 5361, 4557, 98, 6997, 3703, 6204, 3301]","[1705, 7862, 2373, 1779, 5417, 5361, 98, 5043, 3703, 3301, 7888, 461, 4098, 5970, 4485, 5011, 5855, 2574, 5756, 3827]","[1705, 7862, 2373, 1779, 5417, 5361, 98, 5043, 3703, 3301]","[6273, 4098, 6561, 5361, 6597, 2574, 2373, 3301, 3703, 5855, 5417, 5536, 7888, 1449, 6123, 1705, 7862, 5916, 1313, 98]","[6273, 4098, 6561, 5361, 6597, 2574, 2373, 3301, 3703, 5855]"
связь между кровью и болезнью Паркинсона,[6945],1,"[6945, 612, 5136, 3658, 29, 5092, 209, 884, 5618, 5713, 342, 5848, 640, 5093, 607, 697, 5423, 6492, 4566, 6459]","[6945, 612, 5136, 3658, 29, 5092, 209, 884, 5618, 5713]","[6945, 8169, 612, 4252, 5861, 6492, 5466, 5459, 4256, 3898, 4791, 5407, 3801, 6820, 5618, 2479, 4524, 8150, 616, 7298]","[6945, 8169, 612, 4252, 5861, 6492, 5466, 5459, 4256, 3898]","[6945, 3970, 5092, 5423, 5093, 612, 3658, 29, 5618, 8169, 791, 5136, 7918, 884, 5848, 6806, 616, 342, 5353, 2979]","[6945, 3970, 5092, 5423, 5093, 612, 3658, 29, 5618, 8169]","[612, 6945, 5092, 8169, 5136, 616, 3658, 5618, 722, 4635, 607, 3850, 6146, 3041, 6820, 6492, 6759, 6459, 342, 884]","[612, 6945, 5092, 8169, 5136, 616, 3658, 5618, 722, 4635]"
исследования ледников Гренландии,[6342],1,"[3196, 6342, 3470, 3710, 6511, 4421, 581, 5455, 4097, 1404, 6437, 3462, 686, 4130, 753, 7159, 8189, 8196, 2880, 4123]","[3196, 6342, 3470, 3710, 6511, 4421, 581, 5455, 4097, 1404]","[6342, 3196, 581, 1404, 4421, 2880, 4097, 6511, 4123, 119, 3462, 686, 3710, 6437, 789, 2617, 6883, 4130, 6880, 7382]","[6342, 3196, 581, 1404, 4421, 2880, 4097, 6511, 4123, 119]","[6342, 3196, 1404, 4421, 6511, 581, 686, 2617, 119, 3587, 972, 3710, 637, 4123, 2990, 2762, 2553, 5221, 3470, 4462]","[6342, 3196, 1404, 4421, 6511, 581, 686, 2617, 119, 3587]","[4421, 3462, 1404, 2880, 4336, 3710, 581, 6342, 7382, 8209, 6511, 4097, 2838, 3599, 3470, 3498, 5783, 4099, 3134, 2225]","[4421, 3462, 1404, 2880, 4336, 3710, 581, 6342, 7382, 8209]"
статьи про трилобитов,[5378],1,"[2680, 4703, 3446, 6627, 5378, 7033, 6134, 3458, 5185, 4669, 2652, 3164, 7656, 8051, 4370, 6278, 7528, 8255, 4153, 6913]","[2680, 4703, 3446, 6627, 5378, 7033, 6134, 3458, 5185, 4669]","[2680, 4703, 3446, 6627, 5378, 6913, 2652, 7033, 8040, 1786, 6957, 3410, 3878, 8051, 3164, 8241, 4069, 4497, 543, 5604]","[2680, 4703, 3446, 6627, 5378, 6913, 2652, 7033, 8040, 1786]","[3410, 2680, 4703, 8040, 3446, 5484, 8051, 5378, 6627, 702, 8255, 5559, 4310, 4069, 8241, 4669, 6913, 5420, 5604, 5976]","[3410, 2680, 4703, 8040, 3446, 5484, 8051, 5378, 6627, 702]","[2680, 5378, 6627, 4703, 3446, 7033, 6913, 6462, 5604, 7262, 8051, 7172, 4798, 3164, 7693, 3410, 6278, 5559, 8255, 3888]","[2680, 5378, 6627, 4703, 3446, 7033, 6913, 6462, 5604, 7262]"
влияние отсутствия планеты на Солнечную систему,[6726],1,"[6726, 2444, 1866, 652, 2758, 542, 6894, 2733, 243, 4950, 1054, 5993, 4442, 6110, 1711, 785, 1407, 6693, 2399, 4291]","[6726, 2444, 1866, 652, 2758, 542, 6894, 2733, 243, 4950]","[6726, 7643, 1054, 525, 6894, 3586, 6693, 178, 6609, 3862, 4455, 2618, 173, 1157, 2399, 652, 2083, 833, 2444, 1572]","[6726, 7643, 1054, 525, 6894, 3586, 6693, 178, 6609, 3862]","[2399, 785, 6726, 7643, 1157, 3586, 525, 7384, 562, 3705, 6110, 4455, 30, 965, 2618, 160, 6894, 3786, 2444, 3840]","[2399, 785, 6726, 7643, 1157, 3586, 525, 7384, 562, 3705]","[3586, 3705, 1488, 152, 785, 6726, 7643, 2399, 4455, 7384, 1012, 652, 432, 4513, 3315, 3094, 833, 537, 173, 904]","[3586, 3705, 1488, 152, 785, 6726, 7643, 2399, 4455, 7384]"
панды и социальные сети,[4765],1,"[4765, 1690, 5327, 6538, 497, 7481, 6891, 971, 6479, 4472, 1113, 4076, 987, 447, 3557, 8185, 7926, 1005, 189, 2678]","[4765, 1690, 5327, 6538, 497, 7481, 6891, 971, 6479, 4472]","[4765, 4243, 1403, 1395, 6479, 971, 7827, 4454, 4472, 6538, 5197, 189, 497, 3868, 4029, 6891, 7481, 8248, 8054, 7210]","[4765, 4243, 1403, 1395, 6479, 971, 7827, 4454, 4472, 6538]","[4765, 7481, 4205, 1005, 497, 4779, 1206, 1395, 8054, 1690, 5353, 7603, 971, 3366, 8248, 3976, 2964, 7775, 7569, 4880]","[4765, 7481, 4205, 1005, 497, 4779, 1206, 1395, 8054, 1690]","[4765, 7518, 6538, 1690, 1113, 7888, 1395, 4454, 3976, 7706, 189, 6714, 7210, 7827, 8102, 4205, 4472, 971, 5197, 8039]","[4765, 7518, 6538, 1690, 1113, 7888, 1395, 4454, 3976, 7706]"
физические явления в пластмассах,[4555],1,"[4344, 2258, 5353, 2007, 6606, 2115, 554, 7291, 698, 8151, 1617, 6145, 850, 3628, 1453, 2822, 8077, 7044, 1687, 876]","[4344, 2258, 5353, 2007, 6606, 2115, 554, 7291, 698, 8151]","[4344, 6912, 5250, 2822, 5349, 2782, 6737, 671, 2115, 1443, 5353, 3875, 4274, 2258, 874, 514, 1294, 3225, 1493, 1687]","[4344, 6912, 5250, 2822, 5349, 2782, 6737, 671, 2115, 1443]","[4344, 2822, 3493, 5056, 5250, 7991, 8152, 7994, 1556, 1443, 6737, 6761, 8264, 7657, 7291, 7004, 6145, 5353, 1146, 4334]","[4344, 2822, 3493, 5056, 5250, 7991, 8152, 7994, 1556, 1443]","[6761, 1453, 5250, 1443, 4344, 2782, 372, 671, 3168, 2115, 6912, 8264, 3493, 3400, 1493, 3225, 874, 6145, 4555, 522]","[6761, 1453, 5250, 1443, 4344, 2782, 372, 671, 3168, 2115]"
достижения «Росатома» в науке,[4484],1,"[251, 2227, 2440, 4024, 2150, 3973, 639, 4484, 5692, 2162, 7486, 185, 3695, 3932, 3651, 4869, 1599, 4075, 2144, 509]","[251, 2227, 2440, 4024, 2150, 3973, 639, 4484, 5692, 2162]","[4484, 2227, 2440, 598, 3973, 4024, 3071, 4075, 3932, 251, 2162, 639, 2150, 3651, 2144, 3695, 5692, 2729, 3128, 3175]","[4484, 2227, 2440, 598, 3973, 4024, 3071, 4075, 3932, 251]","[2440, 3973, 4484, 4024, 2227, 4075, 5692, 639, 2144, 3175, 3695, 251, 598, 3542, 3651, 2729, 3071, 3128, 2162, 3164]","[2440, 3973, 4484, 4024, 2227, 4075, 5692, 639, 2144, 3175]","[3175, 4024, 3932, 2150, 2729, 4075, 2144, 2162, 3542, 251, 5692, 2440, 639, 2434, 3071, 3128, 2713, 2227, 3651, 3973]","[3175, 4024, 3932, 2150, 2729, 4075, 2144, 2162, 3542, 251]"
статьи про стоимость диагностики рака,[4529],1,"[4529, 1360, 3320, 2824, 3552, 4567, 5467, 5425, 2052, 5527, 7439, 3801, 3560, 5698, 6853, 4936, 543, 5459, 1082, 7281]","[4529, 1360, 3320, 2824, 3552, 4567, 5467, 5425, 2052, 5527]","[4529, 3117, 2331, 5999, 7281, 3320, 5031, 543, 7201, 6168, 5423, 5467, 7298, 7648, 3009, 1334, 3552, 3801, 5425, 5888]","[4529, 3117, 2331, 5999, 7281, 3320, 5031, 543, 7201, 6168]","[4529, 3117, 6168, 5999, 1930, 6371, 3560, 2331, 6588, 6697, 5527, 5756, 3249, 7648, 3320, 2501, 1821, 4785, 7281, 543]","[4529, 3117, 6168, 5999, 1930, 6371, 3560, 2331, 6588, 6697]","[4529, 5527, 6697, 3320, 2501, 1082, 5999, 7648, 6371, 5302, 4936, 7710, 3009, 3801, 3792, 129, 3552, 1936, 4785, 4567]","[4529, 5527, 6697, 3320, 2501, 1082, 5999, 7648, 6371, 5302]"
статьи о пробиотиках,[1178],1,"[3936, 5471, 1683, 6735, 3976, 6278, 2897, 7298, 5185, 1666, 5008, 7347, 5260, 4563, 3031, 8237, 2659, 2166, 2527, 2179]","[3936, 5471, 1683, 6735, 3976, 6278, 2897, 7298, 5185, 1666]","[3936, 1683, 7073, 5269, 2739, 6631, 7069, 6673, 5483, 727, 1178, 6635, 2166, 7347, 2096, 8237, 8158, 7182, 1251, 7338]","[3936, 1683, 7073, 5269, 2739, 6631, 7069, 6673, 5483, 727]","[7069, 3936, 1178, 144, 2179, 3947, 3391, 7073, 1683, 5471, 1251, 4917, 3060, 4563, 5423, 1977, 109, 5269, 7558, 5]","[7069, 3936, 1178, 144, 2179, 3947, 3391, 7073, 1683, 5471]","[3936, 1683, 1178, 2897, 5800, 5559, 4917, 4509, 3947, 5840, 7328, 8187, 7262, 6735, 2179, 8051, 5, 4474, 6932, 5603]","[3936, 1683, 1178, 2897, 5800, 5559, 4917, 4509, 3947, 5840]"
исследования в Антарктиде,[3018],1,"[5455, 3470, 2797, 5221, 3710, 657, 3606, 2152, 3858, 6511, 2951, 986, 3196, 4227, 7427, 2420, 637, 5268, 5692, 581]","[5455, 3470, 2797, 5221, 3710, 657, 3606, 2152, 3858, 6511]","[2951, 637, 3710, 3470, 2797, 4200, 7427, 4227, 943, 581, 5268, 986, 4873, 290, 5998, 5455, 4510, 8265, 3858, 5221]","[2951, 637, 3710, 3470, 2797, 4200, 7427, 4227, 943, 581]","[5657, 2226, 5268, 5998, 2951, 3710, 8176, 168, 7427, 3858, 637, 942, 6511, 4227, 4873, 5692, 8265, 6276, 3470, 986]","[5657, 2226, 5268, 5998, 2951, 3710, 8176, 168, 7427, 3858]","[3710, 5221, 637, 3470, 581, 2797, 4227, 2951, 986, 6362, 3606, 7427, 4873, 1775, 3754, 168, 290, 6511, 5268, 943]","[3710, 5221, 637, 3470, 581, 2797, 4227, 2951, 986, 6362]"
статьи о жизни женщин в странах СНГ,[8163],1,"[8163, 4828, 3684, 5342, 697, 7706, 7172, 5845, 2902, 543, 4259, 121, 5571, 4749, 4096, 3043, 3868, 4580, 662, 3950]","[8163, 4828, 3684, 5342, 697, 7706, 7172, 5845, 2902, 543]","[8163, 6997, 6798, 3950, 4096, 3638, 5518, 4259, 543, 4310, 5845, 2902, 6789, 4853, 4399, 4190, 4471, 3043, 4275, 7634]","[8163, 6997, 6798, 3950, 4096, 3638, 5518, 4259, 543, 4310]","[4259, 8163, 6798, 7706, 5571, 4722, 4295, 4471, 121, 4275, 4096, 8051, 3638, 5559, 3950, 915, 2337, 4853, 3684, 8079]","[4259, 8163, 6798, 7706, 5571, 4722, 4295, 4471, 121, 4275]","[8163, 5571, 915, 4853, 7172, 6997, 7927, 6735, 8051, 4798, 367, 5559, 4749, 1859, 8079, 2400, 5185, 3043, 822, 4275]","[8163, 5571, 915, 4853, 7172, 6997, 7927, 6735, 8051, 4798]"
новости про горячие суперземли,[3820],1,"[8232, 5591, 4025, 102, 4674, 5711, 1877, 6537, 7528, 7343, 3101, 4682, 965, 4058, 3506, 6708, 6462, 4807, 1914, 2251]","[8232, 5591, 4025, 102, 4674, 5711, 1877, 6537, 7528, 7343]","[5591, 1422, 2028, 5946, 5372, 4025, 174, 8232, 965, 7343, 3614, 6327, 4807, 6537, 2977, 5604, 2251, 4989, 4431, 3506]","[5591, 1422, 2028, 5946, 5372, 4025, 174, 8232, 965, 7343]","[5591, 2028, 5946, 102, 8232, 5711, 145, 174, 346, 2701, 3924, 4058, 2977, 5481, 7045, 5233, 3614, 4025, 965, 2251]","[5591, 2028, 5946, 102, 8232, 5711, 145, 174, 346, 2701]","[6281, 4798, 4638, 7760, 5881, 3075, 6134, 5481, 7725, 7040, 4989, 7241, 4357, 178, 4882, 4099, 3506, 176, 6735, 2251]","[6281, 4798, 4638, 7760, 5881, 3075, 6134, 5481, 7725, 7040]"
методы быстрой медитации,[156],1,"[156, 3584, 7550, 7077, 355, 1390, 1928, 1955, 7998, 8175, 7056, 653, 504, 7576, 6993, 1007, 7391, 3274, 6760, 3882]","[156, 3584, 7550, 7077, 355, 1390, 1928, 1955, 7998, 8175]","[156, 1928, 6205, 5059, 1007, 7576, 2849, 7077, 567, 1338, 2156, 1390, 1890, 8045, 4901, 330, 6418, 7374, 653, 8175]","[156, 1928, 6205, 5059, 1007, 7576, 2849, 7077, 567, 1338]","[156, 7576, 4901, 7077, 653, 7374, 8175, 7391, 3384, 504, 1007, 5485, 2926, 423, 5464, 407, 6993, 3882, 6205, 7998]","[156, 7576, 4901, 7077, 653, 7374, 8175, 7391, 3384, 504]","[7077, 6209, 156, 6799, 5485, 99, 6767, 6750, 4837, 1882, 3274, 3584, 4901, 2143, 5059, 8236, 6193, 567, 2164, 4910]","[7077, 6209, 156, 6799, 5485, 99, 6767, 6750, 4837, 1882]"
статьи про суперконденсаторы,[6801],1,"[6281, 2905, 1456, 500, 4674, 4638, 3533, 5234, 7528, 5585, 6134, 6084, 856, 7459, 4323, 5008, 6708, 602, 4982, 5986]","[6281, 2905, 1456, 500, 4674, 4638, 3533, 5234, 7528, 5585]","[6281, 2905, 1456, 4638, 500, 6084, 5234, 3744, 5963, 4954, 3533, 4990, 7528, 6321, 5585, 4674, 5132, 6174, 856, 7061]","[6281, 2905, 1456, 4638, 500, 6084, 5234, 3744, 5963, 4954]","[6281, 1456, 3744, 7069, 500, 4674, 856, 5234, 4033, 3369, 6321, 6084, 3533, 7765, 5585, 7061, 2434, 5008, 3002, 5793]","[6281, 1456, 3744, 7069, 500, 4674, 856, 5234, 4033, 3369]","[6281, 1456, 500, 5234, 1743, 3533, 4990, 5500, 5963, 5793, 2905, 2301, 3369, 5834, 5241, 7007, 6330, 5436, 4033, 6735]","[6281, 1456, 500, 5234, 1743, 3533, 4990, 5500, 5963, 5793]"
