request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other
НИУ ВШ,[5923],1,"[2491, 4883, 6169, 4759, 7894, 5422, 5739, 7223, 1805, 7249, 3538, 7084, 2509, 1378, 3764, 8008, 1699, 4691, 34, 5774]","[2491, 4883, 6169, 4759, 7894, 5422, 5739, 7223, 1805, 7249]","[2491, 3276, 1138, 7249, 8008, 2509, 4960, 453, 7223, 4403, 5739, 4444, 1805, 401, 4691, 1254, 5832, 4486, 1506, 3764]","[2491, 3276, 1138, 7249, 8008, 2509, 4960, 453, 7223, 4403]","[1805, 2491, 5253, 3276, 5422, 1917, 6384, 126, 6915, 4105, 1873, 1138, 6927, 453, 3987, 412, 2609, 5832, 5774, 1699]","[1805, 2491, 5253, 3276, 5422, 1917, 6384, 126, 6915, 4105]"
влияние климата на экосистемы,[7293],1,"[7076, 4665, 4140, 7962, 2743, 1157, 8258, 7596, 7386, 2123, 7014, 4462, 4518, 3856, 7162, 7976, 4083, 7472, 4552, 7783]","[7076, 4665, 4140, 7962, 2743, 1157, 8258, 7596, 7386, 2123]","[4665, 5802, 7076, 2743, 1157, 7773, 5381, 4518, 1564, 6143, 7962, 2116, 7195, 7783, 4613, 5945, 4462, 6167, 103, 7472]","[4665, 5802, 7076, 2743, 1157, 7773, 5381, 4518, 1564, 6143]","[7783, 7076, 5381, 6920, 4198, 3294, 3949, 5802, 7386, 3621, 4665, 7195, 6591, 4518, 4111, 4902, 7014, 2585, 7472, 2772]","[7783, 7076, 5381, 6920, 4198, 3294, 3949, 5802, 7386, 3621]"
улучшение свойств алюминиевых сплавов,[1682],1,"[8068, 1438, 5989, 5580, 223, 5949, 2656, 1682, 1421, 245, 5224, 1569, 2330, 8177, 3740, 584, 2783, 8042, 73, 1249]","[8068, 1438, 5989, 5580, 223, 5949, 2656, 1682, 1421, 245]","[5580, 5989, 8068, 223, 2656, 1438, 1682, 6879, 8177, 7941, 2783, 1421, 2459, 2707, 1758, 6599, 73, 2904, 2132, 1249]","[5580, 5989, 8068, 223, 2656, 1438, 1682, 6879, 8177, 7941]","[5989, 5580, 8068, 6879, 8177, 2656, 1219, 3967, 1438, 223, 1682, 2783, 7941, 4834, 4858, 2707, 5949, 2891, 2675, 3763]","[5989, 5580, 8068, 6879, 8177, 2656, 1219, 3967, 1438, 223]"
статьи про вихретоковые замедлители,[3109],1,"[3109, 6134, 5635, 2388, 1724, 6536, 716, 5316, 120, 4730, 1130, 7692, 4482, 3369, 1495, 1502, 3687, 7069, 463, 4370]","[3109, 6134, 5635, 2388, 1724, 6536, 716, 5316, 120, 4730]","[3109, 6782, 2178, 5316, 3988, 4370, 7528, 7069, 1624, 4612, 5508, 4482, 5604, 2255, 1502, 5914, 3616, 3369, 729, 716]","[3109, 6782, 2178, 5316, 3988, 4370, 7528, 7069, 1624, 4612]","[3109, 2248, 4990, 3853, 6782, 2994, 1443, 4832, 7069, 96, 1907, 7251, 120, 2652, 5423, 3436, 7528, 5316, 716, 5986]","[3109, 2248, 4990, 3853, 6782, 2994, 1443, 4832, 7069, 96]"
статьи о подрыве пейджеров в Ливане,[2159],1,"[2159, 543, 3020, 3577, 6852, 4384, 2368, 88, 1724, 70, 19, 5197, 858, 7455, 7007, 7530, 7528, 3237, 6230, 2652]","[2159, 543, 3020, 3577, 6852, 4384, 2368, 88, 1724, 70]","[2159, 3020, 4979, 5592, 4359, 1747, 3237, 846, 6274, 7503, 7530, 543, 5834, 7878, 4591, 7455, 2840, 3288, 7393, 1437]","[2159, 3020, 4979, 5592, 4359, 1747, 3237, 846, 6274, 7503]","[2159, 8138, 558, 2661, 4384, 4764, 5197, 4591, 4359, 7452, 4996, 2900, 1747, 4262, 4979, 3577, 7794, 49, 6852, 7298]","[2159, 8138, 558, 2661, 4384, 4764, 5197, 4591, 4359, 7452]"
современные темпы вымирания,[298],1,"[178, 298, 8052, 8099, 7607, 3261, 3235, 7168, 5482, 3506, 7570, 5560, 5945, 7846, 7773, 6494, 2341, 8015, 4876, 6949]","[178, 298, 8052, 8099, 7607, 3261, 3235, 7168, 5482, 3506]","[178, 4151, 5134, 8052, 5527, 5945, 5901, 6585, 6854, 4589, 298, 6918, 3278, 4048, 7168, 7097, 7408, 3235, 5560, 6626]","[178, 4151, 5134, 8052, 5527, 5945, 5901, 6585, 6854, 4589]","[8052, 3278, 7698, 8099, 178, 3235, 298, 2341, 8015, 3924, 7159, 7408, 1455, 6854, 2639, 5560, 2903, 1832, 2462, 1327]","[8052, 3278, 7698, 8099, 178, 3235, 298, 2341, 8015, 3924]"
статьи о удовлетворенности работой,[4459],1,"[4259, 4998, 6288, 4459, 3794, 3997, 3946, 3148, 4790, 8175, 7889, 7056, 6252, 510, 1875, 3264, 1175, 5749, 4250, 4012]","[4259, 4998, 6288, 4459, 3794, 3997, 3946, 3148, 4790, 8175]","[3794, 4259, 6288, 1875, 4459, 6658, 4434, 1639, 3946, 5374, 3148, 4520, 3997, 1175, 4071, 4790, 510, 4998, 7142, 8175]","[3794, 4259, 6288, 1875, 4459, 6658, 4434, 1639, 3946, 5374]","[6658, 4259, 1639, 2867, 3794, 4434, 3946, 1875, 305, 6288, 5426, 4071, 2454, 5374, 4520, 2230, 4459, 6821, 3997, 5749]","[6658, 4259, 1639, 2867, 3794, 4434, 3946, 1875, 305, 6288]"
влияние слов и действий на внимание младенцев,[278],1,"[3991, 278, 4199, 2793, 5988, 7639, 7212, 2774, 6130, 4969, 4391, 3507, 7070, 4316, 1522, 2919, 2360, 1317, 260, 7862]","[3991, 278, 4199, 2793, 5988, 7639, 7212, 2774, 6130, 4969]","[278, 3991, 7838, 4199, 6576, 2766, 7862, 3073, 5529, 4184, 2919, 5644, 8086, 1905, 4684, 8239, 4316, 5988, 7070, 6034]","[278, 3991, 7838, 4199, 6576, 2766, 7862, 3073, 5529, 4184]","[278, 4199, 260, 3991, 4316, 2878, 7212, 3073, 2865, 6950, 3328, 2127, 7862, 480, 1905, 7838, 1839, 3407, 5529, 5728]","[278, 4199, 260, 3991, 4316, 2878, 7212, 3073, 2865, 6950]"
статьи про полярное сияние,[2103],1,"[2103, 7616, 5507, 1681, 549, 1956, 3519, 3248, 1999, 5885, 2659, 463, 2345, 2772, 3535, 7974, 1504, 6735, 6134, 2285]","[2103, 7616, 5507, 1681, 549, 1956, 3519, 3248, 1999, 5885]","[5885, 7616, 3599, 2103, 4331, 2772, 1837, 2797, 5604, 6745, 5461, 785, 7311, 6167, 2650, 7977, 174, 5591, 3862, 6085]","[5885, 7616, 3599, 2103, 4331, 2772, 1837, 2797, 5604, 6745]","[7616, 2103, 32, 5885, 3513, 2797, 1625, 5591, 2618, 5555, 3599, 2339, 2996, 785, 1750, 2772, 2345, 2131, 1681, 5507]","[7616, 2103, 32, 5885, 3513, 2797, 1625, 5591, 2618, 5555]"
статистика Нобелевских лауреатов,[1151],1,"[1151, 2830, 2775, 47, 31, 2763, 7177, 5986, 5347, 7097, 5298, 7298, 7866, 444, 961, 7740, 39, 7947, 6846, 6134]","[1151, 2830, 2775, 47, 31, 2763, 7177, 5986, 5347, 7097]","[20, 2763, 5320, 31, 2725, 39, 9, 5857, 6845, 7866, 2775, 6785, 5298, 47, 1151, 7847, 2464, 5347, 6826, 8022]","[20, 2763, 5320, 31, 2725, 39, 9, 5857, 6845, 7866]","[2763, 31, 39, 9, 2725, 5320, 47, 5347, 7866, 5298, 20, 2775, 4514, 1151, 7847, 2239, 2186, 2464, 6845, 7927]","[2763, 31, 39, 9, 2725, 5320, 47, 5347, 7866, 5298]"
инновации в Перми,[6830],1,"[1743, 7923, 1099, 1425, 1480, 6488, 7755, 4146, 1229, 1328, 3193, 6225, 5965, 7757, 785, 7133, 5405, 1131, 5682, 5260]","[1743, 7923, 1099, 1425, 1480, 6488, 7755, 4146, 1229, 1328]","[1425, 785, 3558, 3193, 1131, 1139, 5866, 1480, 2799, 1099, 6283, 3387, 5405, 6225, 7757, 5766, 5682, 3922, 5671, 1378]","[1425, 785, 3558, 3193, 1131, 1139, 5866, 1480, 2799, 1099]","[1425, 1480, 6938, 3558, 5766, 1099, 4679, 1139, 1328, 3193, 3889, 7757, 6429, 1131, 4146, 6225, 785, 5834, 5508, 7102]","[1425, 1480, 6938, 3558, 5766, 1099, 4679, 1139, 1328, 3193]"
государственное регулирование аграрной экономики,[6613],1,"[8220, 6613, 4383, 6399, 6014, 4456, 6388, 4004, 2658, 995, 4141, 3558, 6003, 4107, 3489, 2445, 7301, 2810, 3534, 997]","[8220, 6613, 4383, 6399, 6014, 4456, 6388, 4004, 2658, 995]","[6613, 6014, 6488, 3061, 8220, 8194, 6399, 3812, 2445, 5777, 6393, 4004, 4507, 5429, 7142, 6846, 4383, 6639, 5223, 3558]","[6613, 6014, 6488, 3061, 8220, 8194, 6399, 3812, 2445, 5777]","[6014, 6613, 6488, 4004, 6659, 3558, 4141, 4383, 3634, 7968, 7075, 5223, 2445, 3171, 6388, 3087, 285, 6208, 1895, 3061]","[6014, 6613, 6488, 4004, 6659, 3558, 4141, 4383, 3634, 7968]"
средневековые манускрипты,[5491],1,"[7550, 4304, 7409, 2842, 8229, 2963, 6558, 1397, 1484, 5705, 7470, 6795, 6056, 5475, 7415, 6511, 4277, 466, 2624, 6852]","[7550, 4304, 7409, 2842, 8229, 2963, 6558, 1397, 1484, 5705]","[8229, 368, 2543, 1484, 1754, 7409, 466, 5716, 2842, 6091, 5705, 4310, 4732, 7550, 1397, 2624, 6558, 4806, 5531, 4304]","[8229, 368, 2543, 1484, 1754, 7409, 466, 5716, 2842, 6091]","[6558, 5716, 1484, 8229, 7111, 3237, 2963, 1397, 4304, 7550, 1754, 6091, 3850, 3775, 466, 7409, 4732, 7415, 6889, 3386]","[6558, 5716, 1484, 8229, 7111, 3237, 2963, 1397, 4304, 7550]"
древние карты звездного неба,[4708],1,"[7747, 2333, 4179, 4122, 2921, 4708, 3800, 7630, 1623, 5491, 5877, 1478, 4304, 517, 6796, 1689, 7320, 1124, 2907, 2928]","[7747, 2333, 4179, 4122, 2921, 4708, 3800, 7630, 1623, 5491]","[7747, 732, 7630, 4179, 1623, 4122, 4708, 4431, 2975, 1720, 4231, 2333, 1628, 635, 6796, 6085, 2235, 4013, 517, 4025]","[7747, 732, 7630, 4179, 1623, 4122, 4708, 4431, 2975, 1720]","[7747, 4122, 4231, 732, 6796, 1623, 4304, 2079, 7997, 7320, 2333, 5040, 4708, 3800, 635, 4950, 2235, 6173, 1520, 617]","[7747, 4122, 4231, 732, 6796, 1623, 4304, 2079, 7997, 7320]"
статьи про здоровье коленей,[241],1,"[543, 107, 607, 4353, 5423, 2293, 6134, 559, 4543, 2659, 6004, 6459, 295, 199, 6241, 752, 3898, 5740, 5006, 4545]","[543, 107, 607, 4353, 5423, 2293, 6134, 559, 4543, 2659]","[5423, 6004, 607, 907, 1632, 45, 543, 1408, 4543, 2099, 8150, 3918, 6459, 214, 107, 1117, 7056, 357, 7298, 3139]","[5423, 6004, 607, 907, 1632, 45, 543, 1408, 4543, 2099]","[607, 241, 1117, 5423, 107, 295, 559, 2099, 4955, 3918, 543, 292, 3658, 3898, 907, 7056, 1171, 1632, 6278, 1408]","[607, 241, 1117, 5423, 107, 295, 559, 2099, 4955, 3918]"
факторы риска преждевременной смерти,[3406],1,"[6093, 5803, 4803, 7956, 3215, 3406, 6789, 6854, 6763, 3684, 7611, 5848, 697, 5079, 7909, 74, 4633, 6530, 6583, 399]","[6093, 5803, 4803, 7956, 3215, 3406, 6789, 6854, 6763, 3684]","[7611, 6854, 857, 4803, 4571, 1889, 3259, 6762, 1120, 616, 3278, 6554, 7956, 2523, 3218, 6229, 3215, 5803, 2844, 7546]","[7611, 6854, 857, 4803, 4571, 1889, 3259, 6762, 1120, 616]","[1661, 6854, 6093, 1889, 5803, 7697, 3074, 616, 6934, 5041, 3406, 4803, 4763, 3590, 6763, 3278, 7611, 5527, 3218, 2117]","[1661, 6854, 6093, 1889, 5803, 7697, 3074, 616, 6934, 5041]"
аварийность управляемых автомобилей,[3487],1,"[3487, 5480, 3745, 6505, 6456, 4396, 1850, 5655, 7314, 1270, 8029, 515, 1704, 7868, 1476, 6087, 1302, 1193, 1299, 4849]","[3487, 5480, 3745, 6505, 6456, 4396, 1850, 5655, 7314, 1270]","[3487, 6456, 1126, 5480, 5655, 5742, 4849, 4396, 515, 7868, 2153, 5846, 6087, 6680, 3603, 5091, 3003, 3109, 3745, 1270]","[3487, 6456, 1126, 5480, 5655, 5742, 4849, 4396, 515, 7868]","[3487, 1704, 5480, 8029, 5742, 515, 1869, 5655, 3152, 7479, 3745, 4396, 1270, 1193, 6456, 6087, 185, 1850, 1302, 2153]","[3487, 1704, 5480, 8029, 5742, 515, 1869, 5655, 3152, 7479]"
влияние ультраобработанных продуктов на здоровье,[660],1,"[7611, 4972, 5417, 1709, 6042, 2751, 4739, 4944, 7082, 6683, 1183, 3232, 2198, 6286, 7000, 660, 5232, 7387, 5507, 3918]","[7611, 4972, 5417, 1709, 6042, 2751, 4739, 4944, 7082, 6683]","[5417, 7611, 1709, 4020, 6286, 4972, 6116, 3822, 3229, 5044, 3872, 6486, 1156, 2403, 5541, 5500, 7082, 8119, 8107, 8186]","[5417, 7611, 1709, 4020, 6286, 4972, 6116, 3822, 3229, 5044]","[5417, 4972, 1709, 7611, 6683, 6116, 1156, 1129, 3872, 5836, 1088, 1912, 7904, 3918, 7047, 7000, 660, 5541, 6286, 8186]","[5417, 4972, 1709, 7611, 6683, 6116, 1156, 1129, 3872, 5836]"
связь хвоста с нейродегенеративными заболевания,[2552],1,"[2552, 5423, 2094, 6958, 7677, 640, 2962, 1492, 6379, 791, 7736, 6886, 516, 5774, 612, 2611, 29, 5948, 6237, 4953]","[2552, 5423, 2094, 6958, 7677, 640, 2962, 1492, 6379, 791]","[7623, 2552, 7677, 2094, 5092, 7829, 6385, 4891, 414, 4707, 6886, 7836, 29, 783, 4953, 4677, 7154, 6248, 4212, 5423]","[7623, 2552, 7677, 2094, 5092, 7829, 6385, 4891, 414, 4707]","[2552, 5093, 591, 1492, 5423, 4545, 6237, 5369, 1254, 410, 29, 612, 7356, 4707, 6617, 8134, 2094, 7154, 1038, 6644]","[2552, 5093, 591, 1492, 5423, 4545, 6237, 5369, 1254, 410]"
статьи про кротовые норы,[3650],1,"[3650, 543, 6134, 2337, 4835, 7047, 8163, 6500, 5559, 5352, 8200, 2589, 4703, 4624, 4370, 4633, 7677, 8241, 7298, 3604]","[3650, 543, 6134, 2337, 4835, 7047, 8163, 6500, 5559, 5352]","[3650, 8154, 5604, 3164, 8241, 6957, 4570, 543, 5352, 5526, 6462, 7298, 3044, 7736, 8237, 192, 1247, 4356, 188, 2589]","[3650, 8154, 5604, 3164, 8241, 6957, 4570, 543, 5352, 5526]","[3650, 5352, 5423, 3604, 189, 8154, 7845, 2337, 4835, 5559, 8200, 2644, 2886, 7985, 2603, 4624, 5526, 1332, 2976, 7177]","[3650, 5352, 5423, 3604, 189, 8154, 7845, 2337, 4835, 5559]"
пшеница,"[1401, 3534, 6904, 7700]",4,"[3511, 3814, 6735, 6109, 1401, 5483, 3036, 3534, 3555, 7700, 8053, 235, 1666, 6026, 254, 6904, 4172, 7661, 5873, 2551]","[3511, 3814, 6735, 6109, 1401, 5483, 3036, 3534, 3555, 7700]","[5245, 3555, 254, 7700, 8040, 1401, 5635, 1227, 6904, 8053, 6849, 5441, 2076, 7967, 5483, 4172, 7558, 6236, 6282, 7661]","[5245, 3555, 254, 7700, 8040, 1401, 5635, 1227, 6904, 8053]","[7558, 7700, 4172, 2852, 6236, 2076, 1055, 2403, 8053, 6354, 1934, 1286, 6378, 3072, 254, 1066, 1227, 6849, 6109, 6872]","[7558, 7700, 4172, 2852, 6236, 2076, 1055, 2403, 8053, 6354]"
открытия в астрономии,[4084],1,"[5877, 7276, 5259, 1802, 1189, 4556, 5138, 8115, 2663, 2579, 2882, 4838, 1965, 2884, 2744, 5853, 1623, 5711, 3097, 6557]","[5877, 7276, 5259, 1802, 1189, 4556, 5138, 8115, 2663, 2579]","[1965, 5259, 7276, 4720, 2607, 1802, 5853, 2882, 2884, 2769, 1808, 3664, 1246, 643, 4355, 1305, 3420, 6327, 5214, 1746]","[1965, 5259, 7276, 4720, 2607, 1802, 5853, 2882, 2884, 2769]","[6327, 5138, 1246, 5259, 5853, 4314, 1412, 2882, 7276, 2827, 3097, 2896, 7112, 5711, 5214, 1965, 1802, 4720, 3420, 2884]","[6327, 5138, 1246, 5259, 5853, 4314, 1412, 2882, 7276, 2827]"
статьи про летучих мышей,[1281],1,"[3048, 5248, 6909, 6021, 2637, 4627, 410, 3365, 7125, 6581, 2526, 6423, 457, 3006, 5018, 6, 2702, 2687, 3390, 2715]","[3048, 5248, 6909, 6021, 2637, 4627, 410, 3365, 7125, 6581]","[7125, 2526, 6, 457, 2687, 6909, 5619, 3048, 429, 3006, 5248, 1410, 6358, 3766, 5018, 2652, 7298, 1040, 410, 4627]","[7125, 2526, 6, 457, 2687, 6909, 5619, 3048, 429, 3006]","[7272, 5556, 2652, 3006, 5619, 6, 5176, 457, 2552, 2708, 1140, 429, 3365, 3048, 1546, 5248, 3390, 7267, 6581, 6021]","[7272, 5556, 2652, 3006, 5619, 6, 5176, 457, 2552, 2708]"
исследования инфекций и пищеварения,[770],1,"[6610, 3976, 3060, 5483, 7042, 348, 5673, 109, 5657, 3131, 2739, 2096, 7506, 6486, 3850, 3507, 770, 5609, 3500, 6101]","[6610, 3976, 3060, 5483, 7042, 348, 5673, 109, 5657, 3131]","[770, 348, 5161, 3850, 6610, 4468, 5673, 3975, 5985, 21, 4303, 7113, 6101, 7611, 6387, 5483, 3131, 2050, 5796, 4398]","[770, 348, 5161, 3850, 6610, 4468, 5673, 3975, 5985, 21]","[770, 5673, 3976, 5796, 4901, 6387, 7042, 144, 4303, 4020, 5714, 6610, 7375, 6964, 2050, 3131, 6247, 5985, 1821, 2217]","[770, 5673, 3976, 5796, 4901, 6387, 7042, 144, 4303, 4020]"
статьи про нейронные структуры в мозге,[8214],1,"[6134, 2541, 6710, 2304, 4079, 1931, 8143, 5423, 4691, 8002, 7174, 3844, 320, 3125, 7154, 7841, 5976, 1156, 2384, 6993]","[6134, 2541, 6710, 2304, 4079, 1931, 8143, 5423, 4691, 8002]","[1931, 4069, 4393, 6710, 320, 4315, 2375, 7174, 4691, 7154, 4388, 8143, 4081, 4165, 8149, 6248, 5466, 2541, 8252, 4079]","[1931, 4069, 4393, 6710, 320, 4315, 2375, 7174, 4691, 7154]","[2541, 404, 5028, 4388, 320, 5976, 2569, 7907, 3348, 2522, 885, 6169, 5466, 7174, 4393, 4069, 7841, 1931, 8002, 4315]","[2541, 404, 5028, 4388, 320, 5976, 2569, 7907, 3348, 2522]"
использование масел в древнеегипетском бальзамировании,[6978],1,"[1840, 5561, 6978, 4258, 3682, 7550, 4874, 8025, 6793, 7833, 1672, 4948, 1293, 5451, 5370, 7636, 2069, 6814, 3432, 1163]","[1840, 5561, 6978, 4258, 3682, 7550, 4874, 8025, 6793, 7833]","[1840, 5561, 6978, 216, 1, 2069, 4778, 8130, 8028, 1672, 950, 5738, 257, 7304, 3432, 5573, 4971, 7726, 7623, 5597]","[1840, 5561, 6978, 216, 1, 2069, 4778, 8130, 8028, 1672]","[1840, 5561, 6331, 6236, 8028, 2405, 4874, 4948, 7082, 5451, 945, 1293, 2953, 7636, 2069, 5431, 1, 4970, 6978, 3432]","[1840, 5561, 6331, 6236, 8028, 2405, 4874, 4948, 7082, 5451]"
связь между насилием и раком,[382],1,"[382, 5459, 6086, 4785, 6958, 3898, 1920, 5185, 4844, 4380, 4188, 7201, 1188, 527, 2182, 5024, 4936, 5756, 1090, 5934]","[382, 5459, 6086, 4785, 6958, 3898, 1920, 5185, 4844, 4380]","[382, 4579, 5200, 5756, 3246, 3229, 6371, 2912, 2052, 6820, 5486, 6554, 3898, 5139, 6798, 206, 7545, 527, 3839, 2182]","[382, 4579, 5200, 5756, 3246, 3229, 6371, 2912, 2052, 6820]","[5756, 382, 4188, 6853, 618, 4785, 702, 6371, 5486, 7545, 1661, 5200, 1575, 3246, 5185, 1053, 527, 1920, 6086, 3560]","[5756, 382, 4188, 6853, 618, 4785, 702, 6371, 5486, 7545]"
статьи про одаренные дети,[4752],1,"[4752, 3463, 5630, 101, 6134, 2266, 7693, 8163, 754, 3969, 324, 3661, 4715, 4418, 5353, 7868, 1700, 7172, 543, 1351]","[4752, 3463, 5630, 101, 6134, 2266, 7693, 8163, 754, 3969]","[4752, 1879, 4715, 2524, 2117, 7671, 3839, 7695, 543, 8102, 3810, 101, 3931, 1700, 1351, 2060, 891, 3969, 8163, 324]","[4752, 1879, 4715, 2524, 2117, 7671, 3839, 7695, 543, 8102]","[5353, 4752, 2266, 980, 4609, 7838, 5340, 7695, 88, 543, 1319, 3001, 8163, 3854, 3214, 7056, 2060, 1700, 1351, 5988]","[5353, 4752, 2266, 980, 4609, 7838, 5340, 7695, 88, 543]"
запуск Starship,[6552],1,"[6552, 2753, 8208, 6450, 5039, 415, 2437, 3610, 4217, 1057, 1707, 2066, 4647, 7665, 7560, 4463, 6377, 2432, 5038, 1373]","[6552, 2753, 8208, 6450, 5039, 415, 2437, 3610, 4217, 1057]","[415, 6450, 2437, 6552, 1708, 5039, 2066, 4647, 3464, 3608, 1707, 5038, 4217, 1057, 2753, 3293, 3610, 2432, 4463, 5245]","[415, 6450, 2437, 6552, 1708, 5039, 2066, 4647, 3464, 3608]","[415, 3179, 5039, 1708, 4217, 6450, 2437, 3608, 2753, 6552, 1707, 3464, 1057, 6545, 2066, 1048, 4463, 5038, 3610, 6833]","[415, 3179, 5039, 1708, 4217, 6450, 2437, 3608, 2753, 6552]"
процессы звездного распада,[1243],1,"[7822, 1243, 4287, 2251, 2013, 7168, 5259, 125, 4328, 3664, 5877, 2421, 7425, 2189, 6770, 5819, 5672, 1643, 1447, 6693]","[7822, 1243, 4287, 2251, 2013, 7168, 5259, 125, 4328, 3664]","[4328, 5712, 1243, 7425, 5819, 615, 134, 7800, 2189, 7010, 2251, 1157, 7811, 1338, 2701, 2928, 2013, 2344, 2497, 6163]","[4328, 5712, 1243, 7425, 5819, 615, 134, 7800, 2189, 7010]","[2189, 2409, 615, 7822, 2251, 134, 1243, 3153, 5819, 4328, 1157, 4287, 3656, 7811, 170, 7273, 1406, 1520, 2414, 1832]","[2189, 2409, 615, 7822, 2251, 134, 1243, 3153, 5819, 4328]"
инструменты для диагностики нарушений слухоречевой памяти,[5767],1,"[5767, 5708, 1856, 2000, 1811, 1138, 1801, 7939, 4240, 5353, 1236, 7214, 884, 1839, 4032, 7753, 2937, 1317, 6367, 8239]","[5767, 5708, 1856, 2000, 1811, 1138, 1801, 7939, 4240, 5353]","[5767, 2000, 1856, 3733, 1138, 1801, 7214, 4032, 2868, 4240, 1811, 5708, 6367, 2382, 7939, 7391, 99, 7803, 1236, 1928]","[5767, 2000, 1856, 3733, 1138, 1801, 7214, 4032, 2868, 4240]","[5767, 1856, 7356, 7670, 3348, 2000, 1236, 7753, 6367, 1811, 6239, 5252, 156, 1147, 3733, 3346, 1801, 5708, 8239, 4524]","[5767, 1856, 7356, 7670, 3348, 2000, 1236, 7753, 6367, 1811]"
статьи про помощь хирургам в лечении порока сердца у детей,[5921],1,"[5921, 543, 2971, 2143, 2846, 7061, 754, 2842, 6481, 3178, 3686, 3039, 6636, 7550, 533, 6503, 4546, 807, 6864, 489]","[5921, 543, 2971, 2143, 2846, 7061, 754, 2842, 6481, 3178]","[5921, 3175, 754, 7061, 2143, 2668, 7030, 2065, 7042, 980, 4408, 6503, 3178, 543, 2842, 5074, 533, 3039, 6789, 4546]","[5921, 3175, 754, 7061, 2143, 2668, 7030, 2065, 7042, 980]","[5921, 543, 2143, 1511, 893, 3178, 2668, 754, 683, 4633, 3175, 1117, 1087, 6481, 6387, 559, 7061, 6171, 533, 807]","[5921, 543, 2143, 1511, 893, 3178, 2668, 754, 683, 4633]"
геологические процессы на Марсе,[2022],1,"[4758, 1980, 2471, 2881, 2768, 1745, 1478, 3338, 2420, 3283, 4617, 7381, 7471, 7637, 3587, 15, 1719, 3904, 1585, 787]","[4758, 1980, 2471, 2881, 2768, 1745, 1478, 3338, 2420, 3283]","[4758, 2420, 1980, 7688, 2358, 2881, 1760, 2471, 2204, 7471, 1745, 4130, 2058, 8189, 391, 7536, 6115, 7381, 7858, 1621]","[4758, 2420, 1980, 7688, 2358, 2881, 1760, 2471, 2204, 7471]","[2358, 3587, 5335, 7134, 4617, 15, 8223, 3283, 1745, 5169, 6006, 1752, 1478, 753, 1760, 4758, 2471, 1967, 6115, 8196]","[2358, 3587, 5335, 7134, 4617, 15, 8223, 3283, 1745, 5169]"
взаимодействие насекомых с растениями,[6754],1,"[7594, 6872, 4559, 3814, 6354, 7852, 6532, 7848, 4569, 2728, 6489, 1026, 6358, 7057, 6754, 5410, 1828, 2273, 717, 6738]","[7594, 6872, 4559, 3814, 6354, 7852, 6532, 7848, 4569, 2728]","[7594, 3814, 4559, 2273, 6354, 7852, 6489, 6872, 5943, 6309, 1295, 5162, 6532, 7576, 7848, 6391, 7057, 5410, 717, 6562]","[7594, 3814, 4559, 2273, 6354, 7852, 6489, 6872, 5943, 6309]","[7594, 4559, 6354, 6872, 7576, 6391, 1295, 3814, 7211, 7852, 6532, 6489, 7848, 2273, 3066, 1427, 7582, 7506, 3660, 6540]","[7594, 4559, 6354, 6872, 7576, 6391, 1295, 3814, 7211, 7852]"
испытания гиперзвуковых летательных аппаратов,[4251],1,"[4251, 2693, 1991, 842, 4092, 7418, 5046, 5235, 6552, 6024, 8208, 4935, 2734, 889, 7549, 5914, 4116, 2048, 3610, 7220]","[4251, 2693, 1991, 842, 4092, 7418, 5046, 5235, 6552, 6024]","[4251, 6450, 2693, 842, 1991, 837, 7418, 3610, 2753, 2437, 5235, 638, 4092, 7549, 5914, 6463, 6205, 5046, 5838, 6024]","[4251, 6450, 2693, 842, 1991, 837, 7418, 3610, 2753, 2437]","[4251, 5046, 2693, 1991, 7359, 6450, 5838, 4092, 42, 842, 2437, 340, 8094, 4949, 1162, 1559, 2753, 638, 7849, 3610]","[4251, 5046, 2693, 1991, 7359, 6450, 5838, 4092, 42, 842]"
новости в области материаловедения,[6801],1,"[5002, 1207, 3313, 4798, 1462, 4800, 2081, 3491, 4890, 2761, 2071, 6666, 7711, 4511, 6708, 2069, 8264, 6483, 602, 6134]","[5002, 1207, 3313, 4798, 1462, 4800, 2081, 3491, 4890, 2761]","[2761, 1475, 3553, 2071, 1530, 5989, 6635, 4927, 6666, 4129, 2006, 6483, 6753, 4798, 1251, 7975, 3491, 8106, 3313, 5002]","[2761, 1475, 3553, 2071, 1530, 5989, 6635, 4927, 6666, 4129]","[3553, 8056, 6369, 4927, 6149, 5585, 1462, 2917, 8144, 8106, 5276, 1251, 6134, 6348, 7863, 3967, 2674, 2071, 2006, 5989]","[3553, 8056, 6369, 4927, 6149, 5585, 1462, 2917, 8144, 8106]"
